topic,cutoff,id,slot,label,parent,count,doc_frac,first_seen,recent_count,background,emerging,variants
llm_long_context,2025-06,problem:context length limitation,problem,context length limitation,context length limitation,16,0.0502,2024-10-31,6,False,False,context window limitation | context window utilization | limited context length handling | limited context window | long context memory degradation | long context performance degradation | long context sequence handling | long context utilization degradation | long episode context length | long video context length constraint | long-context capability | long-context reasoning difficulty | long-context reasoning limitation | optimal context length determination | short context length limitation | visual token sequence length
llm_long_context,2025-06,object:kv cache quantization,object,kv cache quantization,kv cache quantization,15,0.047,2024-10-31,5,False,False,key cache quantization
llm_long_context,2025-06,object:language model,object,language model,language model,15,0.047,2024-10-31,6,False,False,1-bit language model | agentic language model | compressed language model | decoder-only language model | dense attention language model | generative audio language model | hybrid language model | hyperbolic language model | mixture of depths language model | multi-modal language model | protein language model | short-context language model | state space language model | ultra-long context language model
llm_long_context,2025-06,problem:memory footprint,problem,memory footprint,memory footprint,15,0.047,2024-10-31,5,False,False,attention memory footprint | attention memory growth | cache memory requirement | decoding memory overhead | draft model kv cache memory | gpu memory demand during inference | intermediate activation storage | intermediate computation accumulation | intermediate state memory materialization | key-value cache memory growth | kv cache linear growth | memory footprint growth | optimizer state memory footprint | quantization parameter storage overhead | vram memory growth
llm_long_context,2025-06,mechanism:caching,mechanism,caching,caching,14,0.0439,2024-10-31,7,False,False,adaptive token caching | dependency-aware caching | energy-curvature tensor caching | hidden state caching | kv cache generation | kv cache integration | kv cache reuse | kv-cache reuse | prefill cache | prefix-fft cache | segment caching with prefetch | selection cache | selective attention head caching | sparse key-value caching
llm_long_context,2025-06,object:kv cache management,object,kv cache management,kv cache management,14,0.0439,2024-10-31,8,False,False,kv cache lifecycle | kv cache optimization | kv cache retrieval | subgraph-level kv cache
llm_long_context,2025-06,problem:inference efficiency,problem,inference efficiency,inference efficiency,14,0.0439,2024-10-31,6,False,False,adaptive inference cost | decoding latency | idle computation in batch inference | inference computation growth | inference efficiency bottleneck | inference latency bottleneck | inference latency minimization | inference time reduction | kv retrieval efficiency bottleneck | long-context attention slowdown | real-time inference cost | redundant response generation | speculative decoding performance degradation
llm_long_context,2025-06,problem:inference latency,problem,inference latency,inference latency,14,0.0439,2024-10-31,5,False,False,attention latency | decoding latency from cache offloading | graph retrieval inference latency | intermediate reasoning latency | long-context decoding latency | long-context inference latency | long-context pre-filling latency | long-context prefill latency | prefill latency | prefill speed bottleneck | prefilling stage latency | time to first token latency | time-to-first-token latency | video generation inference latency
llm_long_context,2025-06,mechanism:sparse attention,mechanism,sparse attention,sparse attention,13,0.0408,2024-10-31,4,False,False,adaptive token selection | alpha-entmax transformation | block-sparse attention | dynamic hierarchical sparse strategy | dynamic triangular attention pattern | fine-grain top-k sparse attention | grid pattern sparse attention | hybrid sparse attention | mixture of block attention | modality-aware permutation sparse attention | on-the-fly sparse kv selection | position persistent sparse attention | sparse pattern selection | training-free sparse attention
llm_long_context,2025-06,object:large language model inference,object,large language model inference,model inference,13,0.0408,2024-10-31,6,False,False,efficient large language model inference | long-context large language model inference | online large language model inference
llm_long_context,2025-06,mechanism:token selection,mechanism,token selection,token selection,12,0.0376,2024-10-31,6,False,False,balanced key-value selection | correlation-aware token selection | expert-choice token selection | fine-grained token selection | head-level token selection | key token identification | learning-based critical token identification | outlier score integration | threshold-based token selection | token retention probability | training-free context token selection | visual token selection
llm_long_context,2025-06,object:sparse attention,object,sparse attention,attention mechanism,11,0.0345,2024-10-31,4,False,False,sparse attention mechanism
llm_long_context,2025-06,mechanism:fine-tuning,mechanism,fine-tuning,fine-tuning,10,0.0313,2024-10-31,4,False,False,clinical language model fine-tuning | continual pre-training for eviction | fine-tuning for extended context | instruction tuning | parameter-efficient fine-tuning | rag-oriented fine-tuning with intermediate reasoning | rag-specific implicit fine-tuning | reinforcement learning fine-tuning | retrieve-then-generate fine-tuning
llm_long_context,2025-06,mechanism:kv cache compression,mechanism,kv cache compression,kv cache compression,9,0.0282,2024-10-31,4,False,False,constant-sized kv cache | constant-sized kv cache draft model | cross-layer kv cache merging | kv cache low-rank compression | layer-wise kv cache compression | low-rank key cache storage | low-rank kv cache compression | scale-aware kv cache compression | temporal kv cache merging
llm_long_context,2025-06,object:long-context inference,object,long-context inference,model inference,9,0.0282,2024-10-31,3,False,False,long context inference
llm_long_context,2025-06,object:model compression,object,model compression,model compression,9,0.0282,2024-12-31,6,False,False,extreme weight-activation-kv cache quantization | key-value cache compression | large language model compression | post-training compression | transformer layer compression
llm_long_context,2025-06,problem:attention quadratic complexity,problem,attention quadratic complexity,computational cost,9,0.0282,2024-11-30,4,False,False,attention computational complexity
llm_long_context,2025-06,problem:context length constraint,problem,context length constraint,context window limitation,9,0.0282,2024-10-31,4,False,False,context length degradation | context length explosion | context length limitation | context window length limitation | limited context length
llm_long_context,2025-06,mechanism:kv cache management,mechanism,kv cache management,kv cache management,8,0.0251,2024-10-31,3,False,False,cross-model kv cache retrieval | dynamic token-level kv cache selection | hierarchical kv page selection | outlier token prefixing | position-independent kv cache caching | prefill-decouple kv cache insertion | selective token caching | synchronized kv cache management
llm_long_context,2025-06,mechanism:memory management,mechanism,memory management,memory management,8,0.0251,2024-11-30,5,False,False,block-based kv cache memory allocation | dynamic memory ranking | importance-based memory budgeting | intermediate thought reduction | memory hierarchy optimization | unified gpu memory management | unified paging | unified storage
llm_long_context,2025-06,mechanism:representation learning,mechanism,representation learning,representation learning,8,0.0251,2024-10-31,4,False,False,information bottleneck compression | key-value state representation | latent space design | llm2vec adaptation | matryoshka representation learning | max-pooling embedder | self-supervised pretraining | sparsity prior
llm_long_context,2025-06,object:large language model serving,object,large language model serving,model serving,8,0.0251,2024-10-31,5,False,False,large language model serving system
llm_long_context,2025-06,object:model serving,object,model serving,model serving,8,0.0251,2024-10-31,2,False,False,fairness-aware large language model serving | large language model inference serving | long-context large language model serving | long-sequence large language model serving | low-precision large language model serving | multi-llm serving | multimodal large language model serving
llm_long_context,2025-06,object:sequence modeling,object,sequence modeling,sequence modeling,8,0.0251,2024-10-31,3,False,False,2d spatial sequence modeling | attention-free sequence learning | long-context sequence modeling | recurrent neural network memory | recurrent sequence model | sequence prediction | state space model | state-space model
llm_long_context,2025-06,problem:kv cache memory bottleneck,problem,kv cache memory bottleneck,memory bottleneck,8,0.0251,2024-10-31,1,False,False,kv-cache memory bottleneck
llm_long_context,2025-06,problem:quadratic attention complexity,problem,quadratic attention complexity,computational complexity,8,0.0251,2024-10-31,4,False,False,attention quadratic time complexity | quadratic attention cost | quadratic attention memory cost
llm_long_context,2025-06,mechanism:context compression,mechanism,context compression,context compression,7,0.0219,2024-10-31,4,False,False,hierarchical context compression | hybrid context compression | importance-based compression | multi-grained context compression | prompt condensation | recurrent context compression | recursive context cleaning
llm_long_context,2025-06,mechanism:dimensionality reduction,mechanism,dimensionality reduction,dimensionality reduction,7,0.0219,2024-10-31,4,False,False,analytical hidden dimension reduction | feature pruning | joint low-rank projection | low-dimensional subproblem decomposition | randomized embedding | randomized projection construction | shared low-rank subspace projection
llm_long_context,2025-06,mechanism:knowledge distillation,mechanism,knowledge distillation,knowledge distillation,7,0.0219,2024-10-31,2,False,False,continual context distillation | distillation from reasoning model | graph chain-of-thought distillation | latent embedding distillation | long-to-short chain-of-thought distillation | restoration distillation | self-distillation through time | short-to-long distillation
llm_long_context,2025-06,mechanism:position encoding,mechanism,position encoding,position encoding,7,0.0219,2024-10-31,4,False,False,data-dependent rotary embedding | dynamic temporal scaling | hybrid frequency allocation strategy | hyperbolic rotary position encoding | novel position index | selective rope adjustment | temporal and variable position embedding | variable group size encoding
llm_long_context,2025-06,object:model training,object,model training,model training,7,0.0219,2024-10-31,2,False,False,compact model training | continued pre-training | continued pretraining | language model pre-training | large language model training | long context training | reinforcement learning for language model
llm_long_context,2025-06,object:reasoning,object,reasoning,reasoning,7,0.0219,2024-11-30,5,False,False,chain-of-thought reasoning | generative reasoning | long-context reasoning | question-answering reasoning
llm_long_context,2025-06,object:speculative decoding,object,speculative decoding,speculative decoding,7,0.0219,2024-10-31,3,False,False,long-context speculative decoding | multi-level speculative decoding | self-speculative decoding
llm_long_context,2025-06,object:transformer architecture,object,transformer architecture,transformer architecture,7,0.0219,2024-11-30,3,False,False,decoder transformer | efficient transformer | linear transformer architecture | log-depth transformer | rotary position embedding attention | rotary position embedding transformer
llm_long_context,2025-06,problem:attention quadratic cost,problem,attention quadratic cost,computational complexity,7,0.0219,2024-10-31,2,False,False,
llm_long_context,2025-06,mechanism:context length scaling,mechanism,context length scaling,model scaling,6,0.0188,2024-11-30,2,False,False,context length evaluation
llm_long_context,2025-06,mechanism:data augmentation,mechanism,data augmentation,data augmentation,6,0.0188,2024-10-31,0,False,False,automatic data synthesis | iterative example generation | schema extension data augmentation | self-generated preference data | zero-shot data generation
llm_long_context,2025-06,mechanism:rotary position embedding,mechanism,rotary position embedding,position encoding,6,0.0188,2024-10-31,2,False,False,factored rotary position encoding | rotary position embedding integration | rotary position embedding reuse | rotary positional embedding
llm_long_context,2025-06,mechanism:scheduling,mechanism,scheduling,scheduling,6,0.0188,2024-10-31,4,False,False,iterative batch scheduling | joint optimization scheduling | load-balanced scheduling | nested threshold scheduling | slo-aware scheduling | threshold-based scheduling | workload balancing
llm_long_context,2025-06,object:cache management,object,cache management,cache management,6,0.0188,2024-10-31,3,False,False,kv cache allocation | kv cache eviction | kv-cache eviction
llm_long_context,2025-06,object:post-training quantization,object,post-training quantization,model compression,6,0.0188,2024-12-31,2,False,False,quantization-aware training
llm_long_context,2025-06,object:quantization,object,quantization,quantization,6,0.0188,2024-10-31,4,False,False,key-value projection quantization | layer-wise weight quantization | mixed-precision quantization | vector quantization
llm_long_context,2025-06,object:transformer language model,object,transformer language model,language model,6,0.0188,2024-11-30,3,False,False,transformer-based language model
llm_long_context,2025-06,problem:computational efficiency,problem,computational efficiency,computational efficiency,6,0.0188,2024-10-31,2,False,False,high-resolution image efficiency | inference flop efficiency | long-context processing cost | long-context processing inefficiency | retrieval pipeline efficiency
llm_long_context,2025-06,problem:length generalization,problem,length generalization,length generalization,6,0.0188,2024-11-30,4,False,False,context length extrapolation | position encoding length generalization | position extrapolation failure
llm_long_context,2025-06,problem:memory bottleneck,problem,memory bottleneck,memory bottleneck,6,0.0188,2024-11-30,5,False,False,gpu memory capacity bottleneck | kv cache memory access | kv cache memory transfer | long context memory bottleneck | prefill memory bottleneck | recurrent state capacity limitation
llm_long_context,2025-06,problem:memory cost,problem,memory cost,memory cost,6,0.0188,2024-10-31,2,False,False,activation memory footprint | activation memory overhead | backpropagation through time memory cost | backward pass memory cost | long-context training cost | long-context training memory cost
llm_long_context,2025-06,mechanism:cache eviction,mechanism,cache eviction,cache eviction,5,0.0157,2024-10-31,2,False,False,coarse-grain kv cache eviction | locality-sensitive hashing eviction | parameterized eviction policy | query-agnostic kv cache eviction | self-attention guided eviction
llm_long_context,2025-06,mechanism:cache management,mechanism,cache management,cache management,5,0.0157,2024-12-31,2,False,False,integrated reuse and recompute | kv cache calibration | performance-driven cache swapping | priority-based kv cache management | semantic cluster-based token recall
llm_long_context,2025-06,mechanism:kv cache offloading,mechanism,kv cache offloading,memory offloading,5,0.0157,2024-11-30,2,False,False,head-wise kv cache offloading
llm_long_context,2025-06,mechanism:sparsity,mechanism,sparsity,sparsity,5,0.0157,2024-10-31,1,False,False,activation sparsification | attention matrix sparsification | content-based sparsity | per-head dynamic sparsity | sparse attention matrix identification
llm_long_context,2025-06,mechanism:training strategy,mechanism,training strategy,training strategy,5,0.0157,2024-10-31,3,False,False,curriculum learning | iterative context length extension | multistage training strategy | sequence length extrapolation training | short-to-long learning scheme
llm_long_context,2025-06,object:benchmark,object,benchmark,benchmark,5,0.0157,2024-11-30,2,False,False,argumentation evaluation | factuality evaluation | pattern recognition benchmark | reasoning benchmark | synthetic benchmark
llm_long_context,2025-06,object:key-value cache,object,key-value cache,inference optimization,5,0.0157,2024-12-31,3,False,False,key-value cache management | key-value cache memory
llm_long_context,2025-06,object:model architecture,object,model architecture,model architecture,5,0.0157,2024-10-31,2,False,False,draft model design | elastic model architecture | hybrid architecture | hybrid mamba architecture
llm_long_context,2025-06,object:multimodal language model,object,multimodal language model,multimodal language model,5,0.0157,2024-10-31,1,False,False,long-context video modeling | long-context visual language model | medical vision-language model | video large language model | vision language model
llm_long_context,2025-06,object:representation learning,object,representation learning,representation learning,5,0.0157,2024-10-31,2,False,False,long-context clinical representation | multi-modal alignment | multi-scale image representation | protein representation learning | sparse coding
llm_long_context,2025-06,problem:computation overhead,problem,computation overhead,computation overhead,5,0.0157,2024-10-31,3,False,False,dequantization overhead | kv cache recomputation cost | kv cache recomputation overhead | redundant computation in training | token selection overhead
llm_long_context,2025-06,problem:memory bandwidth,problem,memory bandwidth,memory bandwidth,5,0.0157,2024-10-31,0,False,False,attention memory bandwidth | i o throughput bottleneck | kv cache loading inefficiency | kv cache memory bandwidth | kv cache memory bandwidth demand
llm_long_context,2025-06,mechanism:attention optimization,mechanism,attention optimization,attention optimization,4,0.0125,2024-10-31,2,False,False,dynamic group attention | offline sparse pattern search | pre-attention token selection | token selection for attention
llm_long_context,2025-06,mechanism:gradient estimation,mechanism,gradient estimation,gradient estimation,4,0.0125,2024-10-31,2,False,False,black-box gradient estimation | central-difference gradient estimation | low-rank gradient estimation | random-vector gradient estimation | unbiased gradient estimation compensation
llm_long_context,2025-06,mechanism:in-context learning,mechanism,in-context learning,in-context learning,4,0.0125,2024-10-31,2,False,False,context parroting | context-based task solving | long-context demonstration conditioning | probabilistic in-context learning
llm_long_context,2025-06,mechanism:optimization,mechanism,optimization,optimization,4,0.0125,2024-10-31,1,False,False,bayesian optimization for example search | layer-wise optimization | linear programming optimization | momentum integration | subspace optimization
llm_long_context,2025-06,mechanism:outlier handling,mechanism,outlier handling,outlier handling,4,0.0125,2024-12-31,2,False,False,invariant random rotation | kurtosis-based activation rotation | outlier-aware rotation | rotation-based outlier mitigation
llm_long_context,2025-06,mechanism:parallelism,mechanism,parallelism,parallelism,4,0.0125,2025-02-28,3,False,False,adaptive sequential parallelism | context parallelism | hybrid data parallelism | tiled chunkwise parallelization
llm_long_context,2025-06,mechanism:prompt engineering,mechanism,prompt engineering,prompt engineering,4,0.0125,2024-10-31,1,False,False,deep continuous prompt | example selection | explicit relevance prompting | targeted prompt generation
llm_long_context,2025-06,mechanism:retrieval-augmented generation,mechanism,retrieval-augmented generation,retrieval-augmented generation,4,0.0125,2025-02-28,3,False,False,coverage-guided context retrieval | log-augmented generation | long-context in-context retrieval | semantic similarity retrieval
llm_long_context,2025-06,mechanism:sequence modeling,mechanism,sequence modeling,sequence modeling,4,0.0125,2024-12-31,1,False,False,interleaved goal-state-action modeling | linear-time sequence modeling | state space model integration | structured state space model | subquadratic long-context architecture
llm_long_context,2025-06,mechanism:theoretical analysis,mechanism,theoretical analysis,theoretical analysis,4,0.0125,2024-11-30,1,False,False,circuit complexity analysis | communication complexity reduction | information-theoretic analysis
llm_long_context,2025-06,object:agent system,object,agent system,agent system,4,0.0125,2025-03-31,4,False,True,language model agent | multi-agent system | single-agent system
llm_long_context,2025-06,object:few-shot learning,object,few-shot learning,few-shot learning,4,0.0125,2024-12-31,1,False,False,in-context learning
llm_long_context,2025-06,object:fine-tuning,object,fine-tuning,fine-tuning,4,0.0125,2024-10-31,1,False,False,federated fine-tuning | prompt learning | supervised fine-tuning | zeroth-order fine-tuning
llm_long_context,2025-06,object:model evaluation,object,model evaluation,model evaluation,4,0.0125,2024-10-31,2,False,False,agentic capability evaluation | cross-linguistic model evaluation | evaluation metric | safety evaluation
llm_long_context,2025-06,object:text summarization,object,text summarization,text summarization,4,0.0125,2024-10-31,1,False,False,long-context summarization | multi-document summarization
llm_long_context,2025-06,problem:attention efficiency,problem,attention efficiency,attention efficiency,4,0.0125,2024-10-31,3,False,False,attention sparsity degradation | attention sparsity exploitation | suboptimal attention configuration
llm_long_context,2025-06,problem:attention limitation,problem,attention limitation,attention limitation,4,0.0125,2025-01-31,3,False,False,information flow interruption | long-range attention degradation | rigid attention pattern | short-range dependency limitation
llm_long_context,2025-06,problem:computational complexity,problem,computational complexity,computational complexity,4,0.0125,2024-10-31,1,False,False,attention i o complexity | circuit complexity lower bound | streaming attention complexity | sub-quadratic memory lower bound
llm_long_context,2025-06,problem:inference bottleneck,problem,inference bottleneck,inference bottleneck,4,0.0125,2025-04-30,4,False,True,cross-attention compute bottleneck | memory bandwidth constraint | memory bandwidth contention | memory bandwidth demand
llm_long_context,2025-06,problem:quantization accuracy,problem,quantization accuracy,quantization accuracy,4,0.0125,2024-10-31,0,False,False,activation-weight quantization degradation | low-precision activation quantization accuracy loss | low-precision quantization accuracy | scalar quantization fidelity loss
llm_long_context,2025-06,problem:quantization error,problem,quantization error,quantization error,4,0.0125,2024-11-30,1,False,False,activation outlier quantization error | outlier activation quantization error | quantization error accumulation | quantization perplexity degradation
llm_long_context,2025-06,mechanism:attention approximation,mechanism,attention approximation,attention approximation,3,0.0094,2024-12-31,1,False,False,hamming distance attention | hamming distance attention estimation | tripartite attention approximation
llm_long_context,2025-06,mechanism:attention computation,mechanism,attention computation,attention computation,3,0.0094,2024-10-31,0,False,False,absorb operation | attention score subtraction | table lookup inner product
llm_long_context,2025-06,mechanism:attention scoring,mechanism,attention scoring,attention scoring,3,0.0094,2025-03-31,3,False,True,data-dependent score down-weighting | leverage score ranking | pre-scoring key prioritization | relative attention score metric
llm_long_context,2025-06,mechanism:attention sparsity,mechanism,attention sparsity,attention sparsity,3,0.0094,2024-10-31,0,False,False,hierarchical top-p pruning | sparse attention head classification | static attention sparsity exploitation
llm_long_context,2025-06,mechanism:batching,mechanism,batching,batching,3,0.0094,2024-10-31,1,False,False,batch size adjustment | dynamic re-batching | online batching algorithm
llm_long_context,2025-06,mechanism:cache allocation,mechanism,cache allocation,cache allocation,3,0.0094,2024-10-31,1,False,False,layer-specific cache allocation | layer-wise cache allocation | layer-wise kv cache allocation
llm_long_context,2025-06,mechanism:cache compression,mechanism,cache compression,cache compression,3,0.0094,2025-02-28,2,False,False,attention-free cache compression | kv cache compression algorithm | two-stage kv cache compression
llm_long_context,2025-06,mechanism:complexity analysis,mechanism,complexity analysis,complexity analysis,3,0.0094,2024-10-31,2,False,False,depth scaling analysis | red-blue pebble game analysis | time-memory trade-off analysis
llm_long_context,2025-06,mechanism:evaluation method,mechanism,evaluation method,evaluation method,3,0.0094,2024-10-31,1,False,False,automatic evaluation metrics | expert human evaluation | long-context evaluation protocol | semantic recall measurement
llm_long_context,2025-06,mechanism:hyperparameter optimization,mechanism,hyperparameter optimization,hyperparameter optimization,3,0.0094,2024-10-31,0,False,False,automatic context length search | cross entropy optimization | historical context length tuning
llm_long_context,2025-06,mechanism:information retrieval,mechanism,information retrieval,information retrieval,3,0.0094,2024-10-31,0,False,False,cell retrieval | document retrieval | query-aware information retrieval | schema retrieval
llm_long_context,2025-06,mechanism:kernel optimization,mechanism,kernel optimization,kernel optimization,3,0.0094,2024-10-31,0,False,False,kernel optimization for sparse mask | mixed-precision matrix multiplication kernel | specialized cuda kernel implementation
llm_long_context,2025-06,mechanism:language model,mechanism,language model,language model,3,0.0094,2024-11-30,2,False,False,domain-specialized small language model | encoder-based language model | long-context language model pipeline
llm_long_context,2025-06,mechanism:low-rank approximation,mechanism,low-rank approximation,low-rank approximation,3,0.0094,2024-10-31,1,False,False,grouped singular value decomposition | low-rank weight approximation | trainable orthogonal projection
llm_long_context,2025-06,mechanism:matrix factorization,mechanism,matrix factorization,matrix factorization,3,0.0094,2024-12-31,0,False,False,low-rank factorization | low-rank matrix factorization | low-rank residual decomposition
llm_long_context,2025-06,mechanism:memory offloading,mechanism,memory offloading,memory offloading,3,0.0094,2024-10-31,1,False,False,activation offloading | layer-wise kv cache offloading | value cache offloading
llm_long_context,2025-06,mechanism:model compression,mechanism,model compression,model compression,3,0.0094,2024-10-31,2,False,False,knowledge distillation | knowledge-preserving distillation | runtime-adaptive compression
llm_long_context,2025-06,mechanism:profiling,mechanism,profiling,profiling,3,0.0094,2024-12-31,0,False,False,kv cache profiling | mini-model based profiling | online sparse pattern profiling
llm_long_context,2025-06,mechanism:pruning,mechanism,pruning,pruning,3,0.0094,2025-03-31,3,False,True,per-token magnitude-based pruning | post-training weight pruning | token pruning algorithm
llm_long_context,2025-06,mechanism:regularization,mechanism,regularization,regularization,3,0.0094,2024-10-31,2,False,False,implicit regularization | inter-class cosine similarity loss | rank-regularized estimation
llm_long_context,2025-06,mechanism:resource scheduling,mechanism,resource scheduling,resource scheduling,3,0.0094,2024-10-31,1,False,False,dynamic cache loading and computation | dynamic gpu resource scheduling | sm-level resource control
llm_long_context,2025-06,mechanism:sparse representation,mechanism,sparse representation,sparse representation,3,0.0094,2024-10-31,1,False,False,bitmap-based sparse format | column-wise sparse mask representation | orthogonal matching pursuit
llm_long_context,2025-06,object:autoregressive model,object,autoregressive model,autoregressive model,3,0.0094,2024-10-31,2,False,False,long-context autoregressive model | visual autoregressive modeling | visual autoregressive transformer
llm_long_context,2025-06,object:foundation model,object,foundation model,foundation model,3,0.0094,2024-10-31,2,False,False,genomic foundation model | media foundation model | time series foundation model
llm_long_context,2025-06,object:in-context learning,object,in-context learning,in-context learning,3,0.0094,2025-02-28,1,False,False,many-shot in-context learning | visual in-context learning
llm_long_context,2025-06,object:memory management,object,memory management,memory management,3,0.0094,2024-10-31,0,False,False,kv cache control | kv cache loading | transformer memory management
llm_long_context,2025-06,object:model alignment,object,model alignment,model alignment,3,0.0094,2024-11-30,1,False,False,safety alignment | safety training
llm_long_context,2025-06,object:model quantization,object,model quantization,model quantization,3,0.0094,2024-10-31,1,False,False,4-bit large language model quantization | activation quantization | large language model quantization
llm_long_context,2025-06,object:neural network component,object,neural network component,neural network component,3,0.0094,2024-10-31,1,False,False,attention mechanism
llm_long_context,2025-06,object:reinforcement learning,object,reinforcement learning,reinforcement learning,3,0.0094,2024-10-31,0,False,False,in-context reinforcement learning | reinforcement learning agent | reinforcement learning from human feedback
llm_long_context,2025-06,object:supervised fine-tuning,object,supervised fine-tuning,supervised fine-tuning,3,0.0094,2025-01-31,2,False,False,long-context fine-tuning | long-context supervised fine-tuning
llm_long_context,2025-06,object:text generation,object,text generation,text generation,3,0.0094,2025-02-28,2,False,False,long-context generation | long-form text generation | long-response text generation
llm_long_context,2025-06,object:token compression,object,token compression,token compression,3,0.0094,2024-12-31,1,False,False,separator token compression | temporal context compression | video token compression
llm_long_context,2025-06,object:transformer,object,transformer,transformer,3,0.0094,2024-10-31,0,False,False,generative transformer | long-context transformer
llm_long_context,2025-06,problem:accuracy degradation,problem,accuracy degradation,accuracy degradation,3,0.0094,2024-11-30,0,False,False,long context accuracy degradation | quantization accuracy loss
llm_long_context,2025-06,problem:compression accuracy,problem,compression accuracy,compression accuracy,3,0.0094,2024-10-31,2,False,False,performance degradation at low compression | performance degradation under high compression | singular linear layer loss optimization
llm_long_context,2025-06,problem:computational inefficiency,problem,computational inefficiency,computational inefficiency,3,0.0094,2025-05-31,3,False,True,attention computational redundancy | fixed computation inefficiency | mask token inefficiency
llm_long_context,2025-06,problem:computational redundancy,problem,computational redundancy,computational redundancy,3,0.0094,2024-11-30,1,False,False,multi-scale inference redundancy | redundant context information | redundant context processing
llm_long_context,2025-06,problem:context modeling,problem,context modeling,context modeling,3,0.0094,2025-01-31,1,False,False,lack of global context modeling | long video context understanding | long-context encoding
